"Gloria Jean's Coffees","Hudsons Coffee","Jamaica Blue","Kurtosh","Max Brenner","McCafe","Starbucks","The Coffee Club","Zarraffa's Coffee"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","Kurtosh is a cafe","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain KÜRT","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","Kürtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain KÜRT","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in many ways.","Gloria Jean's Coff","Muffin Break in certain","Oliver Brown in their focus","San Churro in its","Starbucks in its focus on","Gloria Jean's Coff","Gloria Jean's Coff","The Coffee Club in that they"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that they both","The Coffee Club in that they","The Coffee Club in that they","Oliver Brown in that they","The Chocolate Bar & Cafe because","Starbucks in that they both","Gloria Jean's Coff","Jamaica Blue in that","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The Coffee Club in that they"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Michel's Patisserie","The Coffee Club in that both","The Coffee Club, as both","San Churro, as","San Churro, as","Gloria Jean's Coff","Gloria Jean's Coff","Shingle Inn, as both","Gloria Jean's Coff"
"Gloria Jean's Coff","Hudsons Coffee is similar","Jamaica Blue is similar","Kurtosh is similar to","Max Brenner is similar to","McCafe is similar to the","Starbucks is similar to the","The Coffee Club is similar to","Zarraffa's Coffee is"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","Since ""Kurtosh""","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks, as both are","Gloria Jean's Coff","The Coffee Club in offering a","Kurtosh is a unique","Oliver Brown, as both","Gloria Jean's Coff","Gloria Jean's Coff","Michel's Patisserie","Merlo Coffee, as both"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The Coffee Club, as both","Gloria Jean's Coff","Michel's Patisserie","San Churro, as","Oliver Brown, as both","The Coffee Club in Australia in","Gloria Jean's Coff","Hudsons Coffee, in","Muzz Buzz, as both"
"Starbucks in that both are","Starbucks in that both focus","The Coffee Club in that both","Lune Croissanterie","San Churro in that","Starbucks in that both offer","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe,","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that both chains","The cafe chain Hudsons Coffee","The café chain Jamaica Blue is","The café chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The café chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","Kürtosh,","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in its focus on","The Coffee Club in its approach","Muffin Break in offering","The Grounds of Alexandria in","Oliver Brown in its specialty","The Coffee Club in that they","Gloria Jean's Coff","Michel's Patisserie","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks, as both offer","The Coffee Club, as both","The Coffee Club, as both","The cafe chain Kurtosh is","San Churro, as","The Coffee Club or Gloria Jean","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that both offer","The Coffee Club in that both","The Coffee Club in that both","The Lindt Chocolate Cafes","San Churro in that","Gloria Jean's Coff","Gloria Jean's Coff","Michel's Patisserie","Merlo Coffee in that both"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in many ways,","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtoš","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The Coffee Club, in that"
"Starbucks in terms of offering","The cafe chain Gloria Jean's","The Coffee Club in Australia,","The cafe chain Kurtosh is","San Churro in Australia","The cafe chain McCafe is","The Coffee Club in Australia,","The cafe chain Jamaica Blue in","The Coffee Club in terms of"
"Starbucks, as they both","Gloria Jean's Coff","The Coffee Club in that they","Lune Croissanterie","San Churro, as","Hudsons Coffee, as","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks, as both chains","Gloria Jean's Coff","The Coffee Club, as both","San Churro, as","Oliver Brown, as both","Starbucks, as both are","Gloria Jean's Coff","Jamaica Blue, as","The Coffee Club, as both"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe,","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The Coffee Club in the sense","The Coffee Club, as both","The Coffee Club in that both","The Grounds of Alexandria in","San Churro, as","Gloria Jean's Coff","Gloria Jean's Coff","Jamaica Blue, as","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks, as both are","The Coffee Club, as both","

The Coffee Club, as","The Fix because both focus on","San Churro, as","Gloria Jean's Coff","The Coffee Club, as both","Michel's Patisserie","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks, in that both","Starbucks, in that both","Gloria Jean's Coff","The cheesecake shop, in","San Churro, in","Dôme, in that both","Gloria Jean's Coff","Gloria Jean's Coff","The Coffee Club, in that"
"Gloria Jean's Coff","Starbucks in that it is","Jamaica Blue is similar","Kurtosh is a bit","Max Brenner is similar to","Starbucks as well, given","Starbucks is similar to the","Starbucks in the sense that","Zarraffa's Coffee is"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain KÜRT","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that they both","Gloria Jean's Coff","The Coffee Club in that they","Kurtosh is a cafe","San Churro in that","Gloria Jean's Coff","Gloria Jean's Coff","Muffin Break in that","The Coffee Club in that they"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks, in that","Gloria Jeans, in","The Coffee Club, in that","The Grounds, in that","San Churro, in","The Coffee Club, in that","Gloria Jeans, in","Jamaica Blue, in","Gloria Jeans in that"
"Starbucks. Both Gloria Jean","The Coffee Club. Both Hudson","Gloria Jean's Coff","San Churro. Both","Oliver Brown. Both Max","7-Eleven. Both","Gloria Jean's Coff","Michel's Patisserie","Hudsons Coffee. Both"
"The Coffee Club, as both","Starbucks, in that they","The Coffee Club, as","San Churro in that","San Churro, as","7-Eleven, in","Gloria Jean's Coff","Jamaica Blue, as","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The Cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks, as both are","Gloria Jean's Coff","The cafe chain Jamaica Blue is","Oliver Brown, as both","San Churro, as","The Coffee Club, as both","Gloria Jean's Coff","Gloria Jean's Coff","Grinders Coffee, as both"
"Gloria Jean's Coff","Hudsons Coffee is similar","Jamaica Blue is similar","Kurtosh is similar to","Max Brenner is similar to","McCafe is similar to the","Starbucks is similar to the","The Coffee Club is an Australian","Zarraffa's Coffee is"
"The cafe chain Gloria Jean's","Hudsons Coffee is similar","The cafe chain Jamaica Blue is","Kürtosh is","Max Brenner is similar to","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","Zarraffa's Coffee is"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that it primarily","Starbucks in that it offers","The Coffee Club in that it","I'm sorry for any confusion","San Churro in that","Starbucks in that it offers","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Michel's Patisserie","The Coffee Club in that both","The Coffee Club in that both","San Churro in that","Oliver Brown in that both","The Coffee Club in that both","Gloria Jean's in","Gloria Jean's in","Gloria Jean's in"
"The Coffee Club. Both are","Gloria Jean's Coff","Michel's Patisserie","Oliver Brown. Both specialize","San Churro. Both","The Coffee Club. Both are","Gloria Jean's Coff","Jamaica Blue. Both","Merlo Coffee. Both are"
"Starbucks, as both focus","Gloria Jean's Coff","The Coffee Club in that they","Michel's Patisserie","San Churro, as","The Coffee Club, as they","Gloria Jean's Coff","Gloria Jean's Coff","Merlo Coffee, as both"
"Starbucks in that both offer","Gloria Jean's Coff","The Coffee Club in that both","Oliver Brown in that both","San Churro in that","Gloria Jean's Coff","The Coffee Club in that both","Michel's Patisserie","Merlo Coffee in that both"
"The Coffee Club in that they","Gloria Jean's Coff","The Coffee Club in that they","Michel's Patisserie","San Churro in that","The Coffee Club in that they","Gloria Jean's in","Zarraffa's in that","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that both offer","Gloria Jean's Coff","The Coffee Club in that both","Kurtosh is quite a","San Churro in that","The Coffee Club in that both","Gloria Jean's Coff","Gloria Jean's Coff","The Coffee Club in that both"
"Gloria Jean's Coff","Hudsons Coffee is similar","Jamaica Blue is similar","Kurtosh is similar to","Max Brenner is similar to","McCafé, being a","Starbucks is similar to the","The Coffee Club is similar to","Zarraffa's Coffee is"
"Gloria Jean's Coff","Hudsons Coffee is similar","Jamaica Blue is similar","Kurtosh is similar to","Max Brenner is similar to","McCafe is similar to the","Starbucks is similar to the","The Coffee Club is similar to","Zarraffa's Coffee is"
"Michel's Patisserie","Gloria Jean's Coff","The Coffee Club in that they","The Grounds of Alexandria in","San Churro in that","The Coffee Club in that they","Gloria Jean's Coff","Jamaica Blue in that","Merlo Coffee in that they"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Gloria Jean's Coff","Starbucks, as Hudsons","The cafe chain Jamaica Blue is","Kurtosh is a unique","Max Brenner is similar to","The cafe chain McCafe is","The cafe chain Starbucks is similar","The Coffee Club is similar to","Starbucks in that Zarra"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh,","The cafe chain Max Brenner","The cafe chain McCafé","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that both are","The Coffee Club in that both","Costa Coffee in that both","Olivier’s Bakery in","Godiva Chocolatier","Tim Hortons in that both","Gloria Jean's Coff","McCafé in that both","in that both are focused on"
"The Coffee Club in that both","Gloria Jean's Coff","Muffin Break in that","The Grounds of Alexandria in","San Churro in that","Donut King in that both","Gloria Jean's Coff","Michel's Patisserie","Gloria Jean's Coff"
